
# Auto-generated from Multilingual LibriSpeech (polish)
się [się]
gdybym [gdybym]
herhor [herhor]
wielkie [wielkie]
ręką [ręką]
kraju [kraju]
przynajmniej [przynajmniej]
swój [swój]
izabeli [izabeli]
góry [góry]
jutro [jutro]
czyli [czyli]
panią [panią]
miejsca [miejsca]
majątek [majątek]
wziął [wziął]
iż [iż]
taką [taką]
marta [marta]
tomasz [tomasz]
niby [niby]
dwóch [dwóch]
życiu [życiu]
swojej [swojej]
by [by]
bóg [bóg]
patrząc [patrząc]
mefres [mefres]
naszej [naszej]
powiedział [powiedział]
serca [serca]
dał [dał]
wy [wy]
przyszedł [przyszedł]
często [często]
czasem [czasem]
miasta [miasta]
dziesięć [dziesięć]
abym [abym]
uż [uż]
sklepu [sklepu]
istocie [istocie]
scrooge [scrooge]
młody [młody]
mamy [mamy]
nogi [nogi]
widząc [widząc]
cztery [cztery]
egiptu [egiptu]
kroków [kroków]
duszy [duszy]
świątobliwości [świątobliwości]
stanie [stanie]
pół [pół]
drugiej [drugiej]
ciągnął [ciągnął]
świątobliwość [świątobliwość]
należy [należy]
znalazł [znalazł]
godziny [godziny]
wobec [wobec]
pewnego [pewnego]
zwykle [zwykle]
samego [samego]
wyszedł [wyszedł]
myślę [myślę]
dostojność [dostojność]
zatem [zatem]
tronu [tronu]
tobie [tobie]
chcesz [chcesz]
bogów [bogów]
dotąd [dotąd]
daleko [daleko]
nimi [nimi]
zaczęła [zaczęła]
ktoś [ktoś]
przeciw [przeciw]
wieczorem [wieczorem]
czasie [czasie]
nieraz [nieraz]
oczu [oczu]
pieniądze [pieniądze]
pomyślał [pomyślał]
ochocki [ochocki]
mimo [mimo]
mieli [mieli]
prawo [prawo]
szczęście [szczęście]
zrobił [zrobił]
matka [matka]
poszedł [poszedł]
państwa [państwa]
takich [takich]
pentuer [pentuer]
wielką [wielką]
naprawdę [naprawdę]
doktor [doktor]
chciałem [chciałem]
miłość [miłość]
żeby [żeby]
pięć [pięć]
całej [całej]
robić [robić]
zrobić [zrobić]
spojrzał [spojrzał]
raczej [raczej]
bądź [bądź]
szybko [szybko]
mocno [mocno]
jedna [jedna]
niemi [niemi]
rok [rok]
dużo [dużo]
istotnie [istotnie]
wiedział [wiedział]
sali [sali]
dwadzieścia [dwadzieścia]
jakim [jakim]
pomimo [pomimo]
egipt [egipt]
stach [stach]
powodu [powodu]
zaledwie [zaledwie]
eszcze [eszcze]
one [one]
dziecko [dziecko]
widzieć [widzieć]
okna [okna]
następcy [następcy]
dzisiaj [dzisiaj]
usta [usta]
siły [siły]
baronowa [baronowa]
cała [cała]
syna [syna]
tą [tą]
część [część]
źle [źle]
ciągu [ciągu]
pałacu [pałacu]
twego [twego]
sercu [sercu]
ależ [ależ]
uwagę [uwagę]
spostrzegł [spostrzegł]
widzi [widzi]
możesz [możesz]
głowie [głowie]
wrócił [wrócił]
boże [boże]
kobiet [kobiet]
ramzesa [ramzesa]
hiram [hiram]
wprawdzie [wprawdzie]
znam [znam]
również [również]
został [został]
mogą [mogą]
celu [celu]
będziesz [będziesz]
znaczy [znaczy]
ręku [ręku]
twój [twój]
żadnego [żadnego]
lata [lata]
powiem [powiem]
nowe [nowe]
jednym [jednym]
piersi [piersi]
żaden [żaden]
mało [mało]
równie [równie]
kiedyś [kiedyś]
uśmiechem [uśmiechem]
miłości [miłości]
inny [inny]
początku [początku]
takiego [takiego]
spostrzegłem [spostrzegłem]
dobry [dobry]
jedną [jedną]
powiedz [powiedz]
żem [żem]
starski [starski]
jeśli [jeśli]
dać [dać]
chodzi [chodzi]
powoli [powoli]
pierwszej [pierwszej]
panowie [panowie]
podobne [podobne]
nazajutrz [nazajutrz]
cicho [cicho]
zawołała [zawołała]
dwu [dwu]
tobą [tobą]
robi [robi]
dopóki [dopóki]
lud [lud]
ulicy [ulicy]
wrażenie [wrażenie]
począł [począł]
poznać [poznać]
mogła [mogła]
niekiedy [niekiedy]
mieszkania [mieszkania]
odpowiedziała [odpowiedziała]
gdzieś [gdzieś]
nikogo [nikogo]
trzech [trzech]
samej [samej]
niegdyś [niegdyś]
panem [panem]
patrzył [patrzył]
samym [samym]
jakiego [jakiego]
pracy [pracy]
rozumiem [rozumiem]
pieniędzy [pieniędzy]
człowiekiem [człowiekiem]
iść [iść]
pustyni [pustyni]
waszej [waszej]
nóg [nóg]
jakąś [jakąś]
duch [duch]
krew [krew]
słów [słów]
widzisz [widzisz]
według [według]
górę [górę]
est [est]
wielu [wielu]
innego [innego]
talentów [talentów]
poza [poza]
wraz [wraz]
bogowie [bogowie]
mojem [mojem]
złota [złota]
inaczej [inaczej]
wszelako [wszelako]
same [same]
sami [sami]
nowy [nowy]
wzrok [wzrok]
sklep [sklep]
drugą [drugą]
chcąc [chcąc]
niebo [niebo]
zwłaszcza [zwłaszcza]
wielkim [wielkim]
podniósł [podniósł]
obaj [obaj]
stóp [stóp]
widocznie [widocznie]
skąd [skąd]
święty [święty]
poczem [poczem]
piękna [piękna]
wtem [wtem]
obie [obie]
podobny [podobny]
drodze [drodze]
ów [ów]
znów [znów]
prawa [prawa]
opuścił [opuścił]
siedział [siedział]
wąsowska [wąsowska]
los [los]
drugiego [drugiego]
zna [zna]
chwila [chwila]
tysiące [tysiące]
jesteśmy [jesteśmy]
myślałem [myślałem]
wczoraj [wczoraj]
idzie [idzie]
wzrokiem [wzrokiem]
żyć [żyć]
prędko [prędko]
ego [ego]
otóż [otóż]
któremu [któremu]
dokoła [dokoła]
przedewszystkiem [przedewszystkiem]
wielkiego [wielkiego]
czuł [czuł]
długi [długi]
części [części]
północy [północy]
stawska [stawska]
szczęścia [szczęścia]
wojny [wojny]
stanął [stanął]
ziemia [ziemia]
rzucił [rzucił]
fotelu [fotelu]
cień [cień]
otworzył [otworzył]
skoro [skoro]
światło [światło]
pewny [pewny]
łatwo [łatwo]
wypadek [wypadek]
wóz [wóz]
taka [taka]
nowego [nowego]
końcu [końcu]
światła [światła]
zbliżył [zbliżył]
wiecznie [wiecznie]
wieku [wieku]
mo [mo]
okno [okno]
odparła [odparła]
interes [interes]
syn [syn]
prawdę [prawdę]
wszystkiem [wszystkiem]
ręki [ręki]
inni [inni]
względem [względem]
sara [sara]
niebawem [niebawem]
bynajmniej [bynajmniej]
spokojnie [spokojnie]
słowo [słowo]
jakaś [jakaś]
dosyć [dosyć]
postać [postać]
zwrócił [zwrócił]
pomiędzy [pomiędzy]
odtąd [odtąd]
wolno [wolno]
holmes [holmes]
naszym [naszym]
byłby [byłby]
wyraz [wyraz]
takiej [takiej]
nader [nader]
wpadł [wpadł]
mieście [mieście]
żył [żył]
kilkanaście [kilkanaście]
mały [mały]
rzekłem [rzekłem]
stronie [stronie]
kochany [kochany]
dzieje [dzieje]
trudno [trudno]
niebie [niebie]
uwagi [uwagi]
sześć [sześć]
mąż [mąż]
swych [swych]
wiedzieć [wiedzieć]
obu [obu]
wyraźnie [wyraźnie]
pannę [pannę]
piotr [piotr]
stawskiej [stawskiej]
postaci [postaci]
końca [końca]
każdego [każdego]
znak [znak]
mówią [mówią]
podróż [podróż]
woli [woli]
da [da]
byłoby [byłoby]
mentezufis [mentezufis]
drzewa [drzewa]
nazwisko [nazwisko]
zobaczył [zobaczył]
śmiał [śmiał]
pewien [pewien]
de [de]
szedł [szedł]
mruknął [mruknął]
podróży [podróży]
stan [stan]
owszem [owszem]
robił [robił]
spokój [spokój]
wnet [wnet]
jaka [jaka]
ujrzałem [ujrzałem]
drugim [drugim]
żadnej [żadnej]
ąc [ąc]
sprawy [sprawy]
miasto [miasto]
ostatni [ostatni]
wokulskiemu [wokulskiemu]
rady [rady]
osoby [osoby]
kogo [kogo]
nasza [nasza]
umarł [umarł]
jakiejś [jakiejś]
powtórzył [powtórzył]
złe [złe]
moi [moi]
zdawał [zdawał]
zamiar [zamiar]
ludźmi [ludźmi]
jakich [jakich]
morze [morze]
koło [koło]
pierwszego [pierwszego]
panów [panów]
pierwsze [pierwsze]
zacząłem [zacząłem]
podobnych [podobnych]
państwo [państwo]
całkiem [całkiem]
prędzej [prędzej]
sklepie [sklepie]
szlangbaum [szlangbaum]
wojska [wojska]
twoja [twoja]
dziwne [dziwne]
tedy [tedy]
jakiegoś [jakiegoś]
przyszło [przyszło]
pełne [pełne]
przyszła [przyszła]
włosy [włosy]
matki [matki]
damy [damy]
powinien [powinien]
żadnych [żadnych]
mówisz [mówisz]
znalazłem [znalazłem]
piękne [piękne]
myśleć [myśleć]
konie [konie]
tom [tom]
minut [minut]
świątyń [świątyń]
dostojny [dostojny]
pytał [pytał]
stołu [stołu]
odrazu [odrazu]
naturalnie [naturalnie]
wodę [wodę]
czoło [czoło]
osób [osób]
własne [własne]
możemy [możemy]
naprzeciw [naprzeciw]
arcykapłan [arcykapłan]
gdybyś [gdybyś]
twojej [twojej]
seor [seor]
rodzaju [rodzaju]
stoi [stoi]
zatrzymał [zatrzymał]
ojcem [ojcem]
obraz [obraz]
żal [żal]
boga [boga]
upadł [upadł]
niepodobna [niepodobna]
ruch [ruch]
wina [wina]
krzyknął [krzyknął]
długie [długie]
rąk [rąk]
kraj [kraj]
wielkiej [wielkiej]
szuman [szuman]
sił [sił]
jestto [jestto]
nieszczęście [nieszczęście]
jakże [jakże]
krwi [krwi]
dwoma [dwoma]
ciała [ciała]
szepnęła [szepnęła]
poco [poco]
wokulskim [wokulskim]
poznał [poznał]
wiadomości [wiadomości]
chcą [chcą]
natury [natury]
duszę [duszę]
trzydzieści [trzydzieści]
rozumie [rozumie]
ciało [ciało]
trzeci [trzeci]
uczucia [uczucia]
zarazem [zarazem]
jakiej [jakiej]
pokój [pokój]
temi [temi]
sprawa [sprawa]
piękny [piękny]
zaczyna [zaczyna]
wszędzie [wszędzie]
koniec [koniec]
dziwnie [dziwnie]
kobietę [kobietę]
obiad [obiad]
pamiętam [pamiętam]
ulicę [ulicę]
konia [konia]
mnóstwo [mnóstwo]
żony [żony]
męża [męża]
razu [razu]
słowem [słowem]
łzy [łzy]
wieczora [wieczora]
mógłby [mógłby]
nomarcha [nomarcha]
egipcie [egipcie]
majątku [majątku]
sprawę [sprawę]
toledo [toledo]
busqueros [busqueros]
myślą [myślą]
głośno [głośno]
dzięki [dzięki]
ramionami [ramionami]
oka [oka]
głęboko [głęboko]
gdym [gdym]
ludu [ludu]
nieba [nieba]
głębi [głębi]
drogą [drogą]
rękoma [rękoma]
słyszał [słyszał]
jednem [jednem]
odpowiedziałem [odpowiedziałem]
każdej [każdej]
dobre [dobre]
okiem [okiem]
niczem [niczem]
jednakże [jednakże]
ducha [ducha]
mówiłem [mówiłem]
wszelkie [wszelkie]
powietrza [powietrza]
stała [stała]
ojcze [ojcze]
woda [woda]
adwokat [adwokat]
pamięci [pamięci]
zkąd [zkąd]
miesięcy [miesięcy]
rodziny [rodziny]
chciała [chciała]
żyd [żyd]
zwolna [zwolna]
wozu [wozu]
nadewszystko [nadewszystko]
księżyca [księżyca]
któremi [któremi]
całym [całym]
byle [byle]
duchu [duchu]
zamku [zamku]
wprost [wprost]
prezesowa [prezesowa]
potrzeba [potrzeba]
króla [króla]
patrzy [patrzy]
każda [każda]
ednak [ednak]
wszystkiego [wszystkiego]
drugie [drugie]
pierwszym [pierwszym]
milczeniu [milczeniu]
pewnym [pewnym]
żona [żona]
nilu [nilu]
ino [ino]
pannie [pannie]
znać [znać]
pomocą [pomocą]
naszą [naszą]
radości [radości]
powietrze [powietrze]
chory [chory]
zobaczyć [zobaczyć]
słowach [słowach]
usiadł [usiadł]
czasami [czasami]
żyje [żyje]
hrabia [hrabia]
nadto [nadto]
któż [któż]
zaczęli [zaczęli]
innym [innym]
będziemy [będziemy]
ust [ust]
rozmowy [rozmowy]
tonem [tonem]
gór [gór]
kierunku [kierunku]
znacznie [znacznie]
barona [barona]
maruszewicz [maruszewicz]
wszak [wszak]
ludzkie [ludzkie]
podobno [podobno]
skały [skały]
niem [niem]
gotów [gotów]
uderzył [uderzył]
ściany [ściany]
uśmiechnął [uśmiechnął]
dowiedzieć [dowiedzieć]
starego [starego]
zostać [zostać]
słyszałem [słyszałem]
ciotka [ciotka]
godzinę [godzinę]
słychać [słychać]
brat [brat]
dobra [dobra]
czterech [czterech]
pomocy [pomocy]
droga [droga]
rzeczywiście [rzeczywiście]
gniew [gniew]
mogli [mogli]
hrabina [hrabina]
leży [leży]
pewnie [pewnie]
kocha [kocha]
rozkazy [rozkazy]
znaleźć [znaleźć]
rękach [rękach]
mogło [mogło]
podał [podał]
dnie [dnie]
złego [złego]
rano [rano]
morza [morza]
oby [oby]
dawniej [dawniej]
izabelę [izabelę]
wszystkim [wszystkim]
towarzystwie [towarzystwie]
roboty [roboty]
imię [imię]
wielkich [wielkich]
przeszło [przeszło]
nazwiskiem [nazwiskiem]
abyś [abyś]
sądzę [sądzę]
stole [stole]
słuchał [słuchał]
twoim [twoim]
dam [dam]
odemnie [odemnie]
tuż [tuż]
gwiazdy [gwiazdy]
pamięć [pamięć]
środku [środku]
ostatnie [ostatnie]
ludziom [ludziom]
stopnia [stopnia]
dziwny [dziwny]
dawno [dawno]
samą [samą]
rozmowę [rozmowę]
wieczór [wieczór]
sen [sen]
rana [rana]
wygląda [wygląda]
żonę [żonę]
uczucie [uczucie]
odezwała [odezwała]
podobnego [podobnego]
ramię [ramię]
wkońcu [wkońcu]
przytem [przytem]
naczelnik [naczelnik]
panną [panną]
baronowej [baronowej]
geist [geist]
całego [całego]
umiał [umiał]
oko [oko]
twoich [twoich]
musiałem [musiałem]
dodała [dodała]
ogromne [ogromne]
tysiąc [tysiąc]
zerwał [zerwał]
nadziei [nadziei]
kościoła [kościoła]
twoją [twoją]
udał [udał]
dłużej [dłużej]
paryża [paryża]
łęcki [łęcki]
zdziwiony [zdziwiony]
łzami [łzami]
daje [daje]
braci [braci]
córki [córki]
byłbym [byłbym]
słuszność [słuszność]
różnych [różnych]
stały [stały]
dama [dama]
stosunki [stosunki]
dziewczyna [dziewczyna]
księciu [księciu]
przyjdzie [przyjdzie]
pięćdziesiąt [pięćdziesiąt]
przypomniał [przypomniał]
coto [coto]
czyliż [czyliż]
rozum [rozum]
owego [owego]
zaszczyt [zaszczyt]
patrzeć [patrzeć]
kieszeni [kieszeni]
kamień [kamień]
znajduje [znajduje]
pies [pies]
pisarz [pisarz]
ledwie [ledwie]
księżyc [księżyc]
tyz [tyz]
strach [strach]
ojcu [ojcu]
wielka [wielka]
mieszka [mieszka]
powietrzu [powietrzu]
okolicy [okolicy]
nauki [nauki]
druga [druga]
oświadczył [oświadczył]
stracił [stracił]
zapytała [zapytała]
ha [ha]
stół [stół]
spać [spać]
oddawna [oddawna]
cha [cha]
czeka [czeka]
padł [padł]
dokładnie [dokładnie]
dniach [dniach]
mieliśmy [mieliśmy]
godzinie [godzinie]
poszedłem [poszedłem]
postanowiłem [postanowiłem]
młoda [młoda]
musimy [musimy]
ciężko [ciężko]
tudzież [tudzież]
przyjął [przyjął]
tutmozisa [tutmozisa]
ażebym [ażebym]
jechać [jechać]
mając [mając]
postanowił [postanowił]
służący [służący]
zdaleka [zdaleka]
rozkaz [rozkaz]
duchy [duchy]
wojsko [wojsko]
laty [laty]
stanu [stanu]
pierwszych [pierwszych]
odpowiedź [odpowiedź]
zanim [zanim]
ukazał [ukazał]
mądrość [mądrość]
dotychczas [dotychczas]
ogromny [ogromny]
wydaje [wydaje]
uczuł [uczuł]
własnej [własnej]
zato [zato]
dwaj [dwaj]
którem [którem]
chłopak [chłopak]
stąd [stąd]
zaczęły [zaczęły]
wiatr [wiatr]
piersiach [piersiach]
podobna [podobna]
wyszła [wyszła]
niczego [niczego]
ogień [ogień]
odszedł [odszedł]
chwilą [chwilą]
żołnierze [żołnierze]
herhora [herhora]
czuję [czuję]
jednocześnie [jednocześnie]
jakimś [jakimś]
kilometrów [kilometrów]
cóżto [cóżto]
jedynie [jedynie]
henryk [henryk]
ztąd [ztąd]
wojnę [wojnę]
różne [różne]
stron [stron]
honoru [honoru]
szkoda [szkoda]
dowód [dowód]
pytanie [pytanie]
miały [miały]
uczuć [uczuć]
dagon [dagon]
rocznie [rocznie]
miesiąc [miesiąc]
spokoju [spokoju]
czasów [czasów]
władzę [władzę]
pory [pory]
obchodzi [obchodzi]
szczerze [szczerze]
komu [komu]
resztę [resztę]
spytała [spytała]
południe [południe]
żydzi [żydzi]
szyi [szyi]
zrobi [zrobi]
księżycu [księżycu]
swojem [swojem]
zdania [zdania]
podoba [podoba]
przyjaciel [przyjaciel]
znajdzie [znajdzie]
broń [broń]
leżał [leżał]
człowieku [człowieku]
mie [mie]
wołał [wołał]
spostrzegłszy [spostrzegłszy]
kim [kim]
oprócz [oprócz]
oknie [oknie]
rządca [rządca]
wzdłuż [wzdłuż]
byliśmy [byliśmy]
juz [juz]
większą [większą]
nikomu [nikomu]
władzy [władzy]
swym [swym]
owe [owe]
mieszkanie [mieszkanie]
wolę [wolę]
wyglądał [wyglądał]
twarzą [twarzą]
wiedziałem [wiedziałem]
zdrowie [zdrowie]
brak [brak]
żołnierzy [żołnierzy]
komnaty [komnaty]
se [se]
hiszpanji [hiszpanji]
król [król]
szyję [szyję]
sędzia [sędzia]
ofiary [ofiary]
gości [gości]
stu [stu]
gniewu [gniewu]
tydzień [tydzień]
nowych [nowych]
dziecka [dziecka]
południu [południu]
przyjąć [przyjąć]
południa [południa]
uczynił [uczynił]
mortimer [mortimer]
moro [moro]
przeto [przeto]
milczenie [milczenie]
została [została]
nową [nową]
muszą [muszą]
małe [małe]
lekko [lekko]
wiedząc [wiedząc]
nazwiska [nazwiska]
istoty [istoty]
pierwszą [pierwszą]
chodził [chodził]
dniu [dniu]
świętego [świętego]
wydał [wydał]
musisz [musisz]
radością [radością]
śmiejąc [śmiejąc]
memfisu [memfisu]
nasi [nasi]
bodaj [bodaj]
fenicjanie [fenicjanie]
kawałek [kawałek]
udałem [udałem]
swoję [swoję]
siedzi [siedzi]
zwierciadło [zwierciadło]
każe [każe]
prosto [prosto]
codzień [codzień]
towarzystwa [towarzystwa]
szukać [szukać]
warszawie [warszawie]
śmiechem [śmiechem]
wydobył [wydobył]
kiedykolwiek [kiedykolwiek]
zamknął [zamknął]
położył [położył]
radość [radość]
córka [córka]
pożegnał [pożegnał]
ostatecznie [ostatecznie]
zostanie [zostanie]
kupiec [kupiec]
chłopów [chłopów]
tajemnicę [tajemnicę]
kobietą [kobietą]
brata [brata]
madrytu [madrytu]
każde [każde]
spokojny [spokojny]
odpowiedzi [odpowiedzi]
przychodzi [przychodzi]
pięciu [pięciu]
odrzekł [odrzekł]
wysokości [wysokości]
robią [robią]
gwałtownie [gwałtownie]
posiada [posiada]
imieniu [imieniu]
ruchu [ruchu]
prosił [prosił]
odpowiada [odpowiada]
cześć [cześć]
należało [należało]
wskazując [wskazując]
jasno [jasno]
piękną [piękną]
baskerville [baskerville]
będąc [będąc]
towarzystwo [towarzystwo]
snu [snu]
umysł [umysł]
czekał [czekał]
żeś [żeś]
dostać [dostać]
wszelkich [wszelkich]
mogły [mogły]
chłop [chłop]
tacy [tacy]
westchnął [westchnął]
królowa [królowa]
sary [sary]
fenicjan [fenicjan]
myślisz [myślisz]
idź [idź]
nadzieję [nadzieję]
najwięcej [najwięcej]
tajemnicy [tajemnicy]
wszakże [wszakże]
paru [paru]
jednę [jednę]
jaśnie [jaśnie]
ciekawość [ciekawość]
ponad [ponad]
pomoc [pomoc]
straszne [straszne]
broni [broni]
pięknej [pięknej]
nieszczęścia [nieszczęścia]
przeszedł [przeszedł]
przepraszam [przepraszam]
łaski [łaski]
ksiądz [ksiądz]
stać [stać]
czarne [czarne]
nazywa [nazywa]
plan [plan]
minister [minister]
ślady [ślady]
synu [synu]
ażebyś [ażebyś]
niewiadomo [niewiadomo]
naprzykład [naprzykład]
nieszczęśliwy [nieszczęśliwy]
nieznajomy [nieznajomy]
stapleton [stapleton]
karola [karola]
tomasza [tomasza]
rodzaj [rodzaj]
pola [pola]
bracia [bracia]
jemu [jemu]
chętnie [chętnie]
powóz [powóz]
dworu [dworu]
wyżej [wyżej]
koniecznie [koniecznie]
córkę [córkę]
przyznać [przyznać]
dziesięciu [dziesięciu]
akby [akby]
czasach [czasach]
powiedziałem [powiedziałem]
warszawy [warszawy]
cygan [cygan]
pytam [pytam]
jakto [jakto]
znajdował [znajdował]
namiestnik [namiestnik]
duże [duże]
wino [wino]
kapłana [kapłana]
wyjść [wyjść]
oboje [oboje]
psy [psy]
sargon [sargon]
mej [mej]
stacha [stacha]
toma [toma]
velasquez [velasquez]
mraczewski [mraczewski]
winien [winien]
doktora [doktora]
kwiaty [kwiaty]
oddać [oddać]
rzadko [rzadko]
drzwiach [drzwiach]
starzec [starzec]
ogrodu [ogrodu]
kilkadziesiąt [kilkadziesiąt]
gdzież [gdzież]
łóżka [łóżka]
mojego [mojego]
chłopi [chłopi]
